2025-03-06 08:50 - 2025-03-06 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-13 08:50 - 2025-03-13 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-20 08:50 - 2025-03-20 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-27 08:50 - 2025-03-27 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-03 08:50 - 2025-04-03 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-10 08:50 - 2025-04-10 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-17 08:50 - 2025-04-17 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-24 08:50 - 2025-04-24 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-01 08:50 - 2025-05-01 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-08 08:50 - 2025-05-08 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-15 08:50 - 2025-05-15 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-22 08:50 - 2025-05-22 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-29 08:50 - 2025-05-29 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-06-05 08:50 - 2025-06-05 09:40: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-03 10:30 - 2025-03-03 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-10 10:30 - 2025-03-10 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-17 10:30 - 2025-03-17 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-24 10:30 - 2025-03-24 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-31 10:30 - 2025-03-31 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-07 10:30 - 2025-04-07 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-14 10:30 - 2025-04-14 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-21 10:30 - 2025-04-21 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-04-28 10:30 - 2025-04-28 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-05 10:30 - 2025-05-05 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-12 10:30 - 2025-05-12 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-19 10:30 - 2025-05-19 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-05-26 10:30 - 2025-05-26 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-06-02 10:30 - 2025-06-02 11:20: Psychology (BCASemSecondm) at D1, Faculty: Roshni Ramnani
2025-03-04 09:40 - 2025-03-04 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-11 09:40 - 2025-03-11 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-18 09:40 - 2025-03-18 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-25 09:40 - 2025-03-25 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-01 09:40 - 2025-04-01 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-08 09:40 - 2025-04-08 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-15 09:40 - 2025-04-15 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-22 09:40 - 2025-04-22 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-29 09:40 - 2025-04-29 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-06 09:40 - 2025-05-06 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-13 09:40 - 2025-05-13 10:30: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
